Family	BranchType	Branch	 Duplications	Transfers	Losses	Originations	copies	singletons	extinction_prob	presence	LL
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n10(0)	0	0	0	0	2	2	5.73988e-06	1	-48.6187
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n12(1)	0	0	0	0	2	2	5.73988e-06	1	-48.5446
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n13(2)	0	0	0	0	2	2	5.73988e-06	1	-48.4646
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n14(3)	0	0	0	0	2	2	5.73988e-06	1	-48.4646
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n15(4)	0	0	0	0	2	2	5.73988e-06	1	-48.6877
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n16(5)	0	0	0	0	2	2	5.73988e-06	1	-48.6877
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n17(6)	0	0	0	0	2	2	5.73988e-06	1	-48.7521
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n18(7)	0	0	0	0	2	2	5.73988e-06	1	-48.7521
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n7(8)	0	0	0	0	2	2	5.73988e-06	1	-48.6187
SpeciesTree.nwk_78_prunedtree.nwk	S_terminal_branch	n8(9)	0	0	0	0	2	2	5.73988e-06	1	-48.6187
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	10	0	0	0	0	2	2	5.73992e-06	1	-48.5446
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	11	0	0	0	0	2	2	5.73992e-06	1	-48.7519
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	12	1	0	0	0	2	0	5.73992e-06	1	-31.9127
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	13	0	0	0	0	2	2	5.73992e-06	1	-48.6877
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	14	0	0	0	0	2	2	5.73992e-06	1	-48.6187
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	15	0	0	0	0	2	2	5.73992e-06	1	-48.6877
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	16	0	0	0	0	2	2	5.73992e-06	1	-48.7519
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	17	1	0	0	0	2	0	5.73992e-06	1	-31.9127
SpeciesTree.nwk_78_prunedtree.nwk	S_internal_branch	18	0	0	0	1	1	1	5.73992e-06	1	-10.8333
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n10(0)	0	0	0	0	1	1	5.43502e-07	1	-32.1968
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n12(1)	0	0	0	0	1	1	5.43502e-07	1	-32.3728
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n13(2)	0	0	0	0	1	1	5.43502e-07	1	-32.2697
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n14(3)	0	0	0	0	1	1	5.43502e-07	1	-32.2697
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n15(4)	0	0	0	0	1	1	5.43502e-07	1	-28.9006
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n16(5)	0	0	0	0	1	1	5.43502e-07	1	-28.9006
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n17(6)	0.02	0.01	0	0	2	1.97	5.43502e-07	1	-21.0409
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n18(7)	0	0.03	0	0	2	1.98	5.43502e-07	1	-21.0409
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n7(8)	0	0	0	0	2	2	5.43502e-07	1	-18.7557
SpeciesTree.nwk_2_prunedtree.nwk	S_terminal_branch	n8(9)	0	0	0	0	2	2	5.43502e-07	1	-18.7557
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	10	0	0	0	0	1	1	5.43502e-07	1	-32.3713
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	11	0	0.04	0	0	1	1	5.43502e-07	1	-23.2425
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	12	0.89	0.63	0	0.08	1.97	0.11	5.43502e-07	1	-15.2735
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	13	0	0.45	0	0.55	2	1.59	5.43502e-07	1	-13.1359
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	14	0	0	0	0	1	1	5.43502e-07	1	-32.0162
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	15	0	0	0	0	1	1	5.43502e-07	1	-28.0165
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	16	0	0.04	0	0	1	0.96	5.43502e-07	1	-22.7442
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	17	0	0.59	0	0	0.96	0.41	5.43502e-07	0.96	-18.162
SpeciesTree.nwk_2_prunedtree.nwk	S_internal_branch	18	0	0	0	0.37	0.37	0.37	5.43502e-07	0.37	-13.2447
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n10(0)	0	0	0	0	2	2	5.73988e-06	1	-48.6187
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n12(1)	0	0	0	0	2	2	5.73988e-06	1	-48.5446
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n13(2)	0	0	0	0	2	2	5.73988e-06	1	-48.4646
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n14(3)	0	0	0	0	2	2	5.73988e-06	1	-48.4646
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n15(4)	0	0	0	0	2	2	5.73988e-06	1	-48.6877
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n16(5)	0	0	0	0	2	2	5.73988e-06	1	-48.6877
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n17(6)	0	0	0	0	2	2	5.73988e-06	1	-48.7521
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n18(7)	0	0	0	0	2	2	5.73988e-06	1	-48.7521
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n7(8)	0	0	0	0	2	2	5.73988e-06	1	-48.6187
SpeciesTree.nwk_74_prunedtree.nwk	S_terminal_branch	n8(9)	0	0	0	0	2	2	5.73988e-06	1	-48.6187
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	10	0	0	0	0	2	2	5.73992e-06	1	-48.5446
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	11	0	0	0	0	2	2	5.73992e-06	1	-48.7519
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	12	1	0	0	0	2	0	5.73992e-06	1	-31.9127
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	13	0	0	0	0	2	2	5.73992e-06	1	-48.6877
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	14	0	0	0	0	2	2	5.73992e-06	1	-48.6187
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	15	0	0	0	0	2	2	5.73992e-06	1	-48.6877
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	16	0	0	0	0	2	2	5.73992e-06	1	-48.7519
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	17	1	0	0	0	2	0	5.73992e-06	1	-31.9127
SpeciesTree.nwk_74_prunedtree.nwk	S_internal_branch	18	0	0	0	1	1	1	5.73992e-06	1	-10.8333
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n10(0)	0	0	0	0	2	2	1.38128e-06	1	-47.2528
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n12(1)	1	0	0	0	3	1	1.38128e-06	1	-47.1787
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n13(2)	0	0	0	0	2	2	1.38128e-06	1	-47.0987
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n14(3)	0	0	0	0	2	2	1.38128e-06	1	-47.0987
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n15(4)	0	0	0	0	2	2	1.38128e-06	1	-47.3218
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n16(5)	0	0	0	0	2	2	1.38128e-06	1	-47.3218
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n17(6)	0	0	0	0	1	1	1.38128e-06	1	-46.6624
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n18(7)	0	0	0	0	1	1	1.38128e-06	1	-46.6624
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n7(8)	2	0	0	0	4	0	1.38128e-06	1	-47.2528
SpeciesTree.nwk_41_prunedtree.nwk	S_terminal_branch	n8(9)	0	0	0	0	2	2	1.38128e-06	1	-47.2528
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	10	0	0	0	0	2	2	1.38129e-06	1	-47.1787
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	11	0	0	0	0	2	2	1.38129e-06	1	-46.1877
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	12	0	0	0	0	1	1	1.38129e-06	1	-32.712
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	13	0	0	0	0	2	2	1.38129e-06	1	-47.3218
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	14	0	0	0	0	2	2	1.38129e-06	1	-47.2528
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	15	0	0	0	0	2	2	1.38129e-06	1	-47.3218
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	16	0	0	0	0	2	2	1.38129e-06	1	-46.1877
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	17	1	0	0	0	2	0	1.38129e-06	1	-29.7473
SpeciesTree.nwk_41_prunedtree.nwk	S_internal_branch	18	0	0	0	1	1	1	1.38129e-06	1	-16.0518
SpeciesTree.nwk_83_prunedtree.nwk	S_terminal_branch	n10(0)	0	0	0	0	3	3	1.18649e-05	1	-60.8522
SpeciesTree.nwk_83_prunedtree.nwk	S_terminal_branch	n12(1)	0	0	0	0	3	3	1.18649e-05	1	-60.7794
SpeciesTree.nwk_83_prunedtree.nwk	S_terminal_branch	n13(2)	1	0	0	0	4	2	1.18649e-05	1	-60.6971
SpeciesTree.nwk_83_prunedtree.nwk	S_terminal_branch	n14(3)	1	0	0	0	4	2	1.18649e-05	1	-60.6971
SpeciesTree.nwk_83_prunedtree.nwk	S_terminal_branch	n15(4)	0	0	0	0	4	4	1.18649e-05	1	-60.1109
