Family	LL	Dp	Tp	Lp	De	Te	Le	Se
SpeciesTree.nwk_78_prunedtree.nwk	-10.8333	0.0538481	1e-10	6.049e-06	2	0	0	17
SpeciesTree.nwk_2_prunedtree.nwk	-12.4281	0.0410789	0.0394164	5.87251e-07	0.91	1.79	0	10.3
SpeciesTree.nwk_74_prunedtree.nwk	-10.8333	0.0538481	1e-10	6.049e-06	2	0	0	17
SpeciesTree.nwk_41_prunedtree.nwk	-16.0518	0.108518	3.16353e-07	1.53118e-06	4	0	0	16
SpeciesTree.nwk_83_prunedtree.nwk	-42.892	0.123875	0.0208089	1.35817e-05	8.39	2	0	28.61
SpeciesTree.nwk_62_prunedtree.nwk	-20.2915	0.225652	1e-10	0.0738874	5.01	0	1.21	10.2
SpeciesTree.nwk_57_prunedtree.nwk	-40.6128	0.170638	0.0330266	8.48794e-10	7.85	2.33	0	18.82
SpeciesTree.nwk_95_prunedtree.nwk	-29.9818	0.0869735	0.0256603	0.000451814	4.11	3.07	0.1	21.92
SpeciesTree.nwk_99_prunedtree.nwk	-13.6768	0.0790517	1.32545e-06	1e-10	3	0	0	17
SpeciesTree.nwk_11_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_24_prunedtree.nwk	-10.8824	0.0535294	1e-10	0.0613943	1.01	0	1.28	10.27
SpeciesTree.nwk_28_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_32_prunedtree.nwk	-6.80507	5.43727e-06	1e-10	0.0594288	0	0	1	9
SpeciesTree.nwk_35_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_39_prunedtree.nwk	-14.2057	0.0643989	0.0304782	1.62336e-09	1	1.01	0	8.99
SpeciesTree.nwk_23_prunedtree.nwk	-13.3192	0.031131	0.0496062	1.58588e-06	0.75	1.47	0	10.78
SpeciesTree.nwk_16_prunedtree.nwk	-7.0579	0.0458077	1e-10	2.39392e-07	1	0	0	10
SpeciesTree.nwk_92_prunedtree.nwk	-53.5272	0.124221	0.0278017	1e-10	9	3.11	0	32.89
SpeciesTree.nwk_50_prunedtree.nwk	-26.4236	0.205715	1e-10	0.0495394	7.01	0	1.27	15.26
SpeciesTree.nwk_69_prunedtree.nwk	-21.1016	0.0761528	0.0267943	1e-10	2.53	1.81	0	16.66
SpeciesTree.nwk_65_prunedtree.nwk	-25.1005	0.185669	1.64808e-06	1e-10	8	0	0	17
SpeciesTree.nwk_84_prunedtree.nwk	-63.6486	0.129247	0.0206823	1.00001e-10	12	3.02	0	41.98
SpeciesTree.nwk_46_prunedtree.nwk	-31.6976	0.153186	0.0166855	1.72607e-07	6.89	1.24	0	18.87
SpeciesTree.nwk_88_prunedtree.nwk	-43.2743	0.122675	0.00881241	1e-10	10	1.01	0	35.99
SpeciesTree.nwk_5_prunedtree.nwk	-20.3073	0.0792018	0.0141612	1e-10	3	1.51	0	18.49
SpeciesTree.nwk_73_prunedtree.nwk	-39.9323	0.10599	0.0255062	0.0213861	5.96	2.32	0.98	23.7
SpeciesTree.nwk_9_prunedtree.nwk	-8.8543	7.17124e-06	0.0508103	1e-10	0	1.02	0	8.98
SpeciesTree.nwk_34_prunedtree.nwk	-5.81301	1.15557e-06	4.06177e-07	0.167282	0	0	1	4
SpeciesTree.nwk_38_prunedtree.nwk	-8.18129	6.44053e-07	1e-10	0.217059	0	0	2	6
SpeciesTree.nwk_17_prunedtree.nwk	-7.0579	0.0458077	1e-10	2.39392e-07	1	0	0	10
SpeciesTree.nwk_100_prunedtree.nwk	-13.6768	0.0790517	1.32545e-06	1e-10	3	0	0	17
SpeciesTree.nwk_22_prunedtree.nwk	-24.1501	1e-10	0.103643	1.00001e-10	0	4.97	0	16.03
SpeciesTree.nwk_68_prunedtree.nwk	-27.9501	0.175603	1e-10	0.0829823	6.03	0	2.42	17.39
SpeciesTree.nwk_64_prunedtree.nwk	-10.6103	0.0566765	0.00732864	0.069252	0.94	0.17	1.08	8.97
SpeciesTree.nwk_93_prunedtree.nwk	-50.6045	0.124112	0.0166561	1e-10	10	2.01	0	35.99
SpeciesTree.nwk_51_prunedtree.nwk	-31.4362	0.160261	0.0180687	1.29178e-07	6.9	1.26	0	17.84
SpeciesTree.nwk_4_prunedtree.nwk	-10.725	0.0573024	1.63329e-06	1e-10	2	0	0	16
SpeciesTree.nwk_72_prunedtree.nwk	-6.96511	0.0506588	7.58552e-06	1e-10	1	0	0	9
SpeciesTree.nwk_8_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_85_prunedtree.nwk	-40.8285	0.113435	0.0091659	1e-10	9	1	0	35
SpeciesTree.nwk_47_prunedtree.nwk	-34.3036	0.171011	0.0134508	8.09952e-07	8.39	1.83	0	18.78
SpeciesTree.nwk_89_prunedtree.nwk	-49.2033	0.113422	0.0157083	0.0237135	8.62	1.58	1.6	35.4
SpeciesTree.nwk_40_prunedtree.nwk	-14.4527	0.0780353	1e-10	0.0464838	2.01	0	1.07	13.06
SpeciesTree.nwk_82_prunedtree.nwk	-24.2076	0.0227571	0.0875581	2.15452e-06	0.65	4.17	0	15.18
SpeciesTree.nwk_79_prunedtree.nwk	-17.4454	0.0329184	0.0299324	4.41793e-07	1.72	2.09	0	21.19
SpeciesTree.nwk_3_prunedtree.nwk	-10.725	0.0573024	1.63329e-06	1e-10	2	0	0	16
SpeciesTree.nwk_75_prunedtree.nwk	-17.0032	0.0415507	0.0752183	1e-10	0.9	2.77	0	10.33
SpeciesTree.nwk_56_prunedtree.nwk	-25.7554	0.169445	4.51394e-07	1.2568e-06	8	0	0	19
SpeciesTree.nwk_94_prunedtree.nwk	-24.0566	0.107481	0.0183239	1e-10	3.86	1.26	0	16.88
SpeciesTree.nwk_98_prunedtree.nwk	-21.2407	0.0812319	0.021527	1e-10	2.77	1.45	0	16.78
SpeciesTree.nwk_63_prunedtree.nwk	-18.5917	0.218659	4.10076e-07	9.929e-07	6	0	0	10
SpeciesTree.nwk_25_prunedtree.nwk	-12.2447	2.95239e-08	0.044041	0.0468916	0	2.12	1.3	11.18
SpeciesTree.nwk_29_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_10_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_33_prunedtree.nwk	-22.8392	3.61585e-07	0.139191	3.61585e-07	0	5.2	0	10.8
SpeciesTree.nwk_19_prunedtree.nwk	-7.0579	0.0458077	1e-10	2.39392e-07	1	0	0	10
SpeciesTree.nwk_15_prunedtree.nwk	-7.0579	0.0458077	1e-10	2.39392e-07	1	0	0	10
SpeciesTree.nwk_20_prunedtree.nwk	-6.80508	6.40858e-06	1e-10	0.0586391	0	0	1	9
SpeciesTree.nwk_36_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_6_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_70_prunedtree.nwk	-18.6841	0.0737239	1e-10	0.0289977	3	0	1	20
SpeciesTree.nwk_87_prunedtree.nwk	-18.6421	0.123986	1.39882e-06	2.43658e-07	5	0	0	17
SpeciesTree.nwk_45_prunedtree.nwk	-28.4106	0.167757	1e-10	0.0752854	6	0	2.32	18.32
SpeciesTree.nwk_49_prunedtree.nwk	-18.9797	0.204999	1.0019e-07	1.30233e-06	6	0	0	11
SpeciesTree.nwk_66_prunedtree.nwk	-30.7905	0.160687	0.0163815	4.46926e-07	6.9	1.19	0	17.91
SpeciesTree.nwk_91_prunedtree.nwk	-71.2174	0.110575	0.0285586	0.0152917	11.01	4.18	1.22	44.03
SpeciesTree.nwk_53_prunedtree.nwk	-30.5107	0.189097	8.30552e-07	8.77831e-07	10	0	0	21
SpeciesTree.nwk_54_prunedtree.nwk	-62.7018	0.164817	0.0546864	0.000820104	9.01	5.63	0.04	26.4
SpeciesTree.nwk_96_prunedtree.nwk	-31.5025	0.154982	5.18093e-07	0.0280592	8	0	1.19	23.19
SpeciesTree.nwk_58_prunedtree.nwk	-25.7554	0.169445	4.51394e-07	1.2568e-06	8	0	0	19
SpeciesTree.nwk_61_prunedtree.nwk	-29.4157	0.213779	3.68047e-07	1.08493e-06	10	0	0	18
SpeciesTree.nwk_42_prunedtree.nwk	-16.0518	0.108518	3.16353e-07	1.53118e-06	4	0	0	16
SpeciesTree.nwk_80_prunedtree.nwk	-10.8333	0.0538481	1e-10	6.049e-06	2	0	0	17
SpeciesTree.nwk_1_prunedtree.nwk	-13.6768	0.0790517	1.32545e-06	1e-10	3	0	0	17
SpeciesTree.nwk_77_prunedtree.nwk	-10.8333	0.0538481	1e-10	6.049e-06	2	0	0	17
SpeciesTree.nwk_31_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_27_prunedtree.nwk	-2.94445	1e-06	1e-06	1e-06	0	0	0	1
SpeciesTree.nwk_12_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_60_prunedtree.nwk	-21.1726	0.148806	7.17942e-07	1.25425e-06	6	0	0	18
SpeciesTree.nwk_55_prunedtree.nwk	-25.7554	0.169445	4.51394e-07	1.2568e-06	8	0	0	19
SpeciesTree.nwk_97_prunedtree.nwk	-17.999	0.0857169	2.81773e-07	0.0365989	3	0	1.16	17.16
SpeciesTree.nwk_59_prunedtree.nwk	-23.342	0.159902	4.07437e-07	1.30458e-06	7	0	0	18
SpeciesTree.nwk_76_prunedtree.nwk	-41.579	0.0267144	0.0947744	0.0322787	1.33	7.12	1.34	21.89
SpeciesTree.nwk_43_prunedtree.nwk	-22.3354	0.154667	1e-10	0.0458111	5	0	1.1	15.1
SpeciesTree.nwk_81_prunedtree.nwk	-21.191	0.0896354	1e-10	0.0711611	3	0	2.29	18.29
SpeciesTree.nwk_30_prunedtree.nwk	-9.5852	6.6465e-06	0.0514615	1e-10	0	1	0	9
SpeciesTree.nwk_13_prunedtree.nwk	-7.0579	0.0458077	1e-10	2.39392e-07	1	0	0	10
SpeciesTree.nwk_26_prunedtree.nwk	-2.94447	1e-10	1e-10	1.99331e-06	0	0	0	9
SpeciesTree.nwk_21_prunedtree.nwk	-12.9868	0.128366	1e-10	0.0921287	2.02	0	1.33	8.31
SpeciesTree.nwk_18_prunedtree.nwk	-13.6243	1e-10	0.0692554	3.2469e-06	0	2.63	0	12.37
SpeciesTree.nwk_14_prunedtree.nwk	-7.0579	0.0458077	1e-10	2.39392e-07	1	0	0	10
SpeciesTree.nwk_37_prunedtree.nwk	-2.94447	1e-10	1e-10	2.32332e-06	0	0	0	7
SpeciesTree.nwk_86_prunedtree.nwk	-56.0082	0.125344	0.0181848	0.0163843	9.96	2.05	1.02	37.01
SpeciesTree.nwk_44_prunedtree.nwk	-31.0306	0.0968591	0.0337966	0.00037366	3.77	2.38	0	18.85
SpeciesTree.nwk_48_prunedtree.nwk	-25.1005	0.185204	3.25085e-07	1.17035e-06	8	0	0	17
SpeciesTree.nwk_7_prunedtree.nwk	-6.62477	4.10196e-06	1e-10	0.0704602	0	0	1	8
SpeciesTree.nwk_71_prunedtree.nwk	-17.999	0.08651	1e-10	0.0370972	3	0	1.14	17.14
SpeciesTree.nwk_90_prunedtree.nwk	-50.2771	0.124705	0.02929	0.000345423	7.99	3.14	0.01	29.88
SpeciesTree.nwk_52_prunedtree.nwk	-42.6818	0.170921	0.0334029	0.0405561	7.01	2.35	1.56	19.2
SpeciesTree.nwk_67_prunedtree.nwk	-20.8945	0.147204	6.0554e-07	1.31765e-06	6	0	0	17
